"","sample","batch","M1","M2","M3","M4","M5","M6","M7","M8","M9","M10","M11","M12","M13","M14","M15","M16","M17","M18","M19","M20","M21","M22","M23","M24","M25","M26","M27","M28","M29","M30","M31","M32","M33","M34","M35","M36","M37","M38","M39","M40","M41","M42","M43","M44","M45","M46","M47","M48","M49","M50"
"1","S2",1,646.24901124002,1903.16707328931,510.668307024554,1435.53849433579,3091.99681786768,3806.52482130562,2937.08699547154,3402.96612854699,3361.88326579165,6690.68378205104,1994.60900004058,2962.50027858044,5576.89484639929,2084.70751269733,2970.99683433043,2139.1855013189,1587.45256260473,1389.16744009434,9782.92019420043,572.796148037077,3735.63186343239,3063.92321813174,2778.54553328846,2390.92456815484,792.89699858196,1106.08427014401,2023.98897739236,7202.31428185424,2558.77251770727,3392.72424257463,1632.21260658559,2384.96393934563,5088.04736206059,1957.28704086626,2671.89904675966,4055.9918555976,3683.70485951388,4121.62175561248,1250.79186621827,2719.75451600502,2798.15742224305,845.223628047206,5793.05241824922,2458.50600712488,5293.75784859112,3398.72003705199,35830.3416274244,1559.5655614514,5797.00979970387,4956.03529314617
"2","S3",1,833.194757949,2342.93223947259,2325.58995624636,1357.39715746635,4737.93851792748,6598.01764533616,1770.08706301857,4497.28745825176,3621.5187086038,6768.68274350425,2375.32210102896,3803.67444122921,5621.51292467655,1202.28339108733,3427.22540020723,2136.9414002707,1624.06467879048,1282.38162807405,14073.8477712635,724.830928170227,3680.22158011041,2603.55491391398,2717.96805895511,2157.85056102759,4382.50251368849,821.405732479082,2285.55049865942,7687.27732751379,3286.537582118,2600.20907311544,2680.66106658369,3245.02499860736,3506.4824148606,2083.91398563939,19718.8934579764,2502.1016950493,3436.90865238667,3640.08765965463,2189.12983761014,5084.48490549692,14841.9468890785,1043.62912649772,6079.83344720755,2437.07230053765,6388.97070427508,3997.55371816077,24783.3387234972,1249.89197150747,7061.01223537921,9673.85451512731
"3","S4",1,474.51150179987,2346.75756921416,1943.03615696198,1166.15165989501,2979.31260108581,6564.11509647967,2010.93655088926,3805.03386022087,2992.5178754913,6675.43653555301,2083.8776711603,2029.84314037166,3767.68491449276,1697.79285746425,2481.84716921685,1892.48305651486,1472.38872204286,1314.10559504163,8206.97785958181,605.751914963372,3647.37173278423,3196.84262707813,2151.27773301457,2465.93035577578,4859.2882593532,883.356831003019,1492.54583810965,8095.04312635902,3568.04711444942,2298.1478321734,2151.76135974522,2378.39285256541,4150.00253814371,2526.44658323377,12960.1348606486,2587.82942851823,2817.56793304241,2705.26230521706,1304.77302973018,3086.19377169692,18580.745404077,1156.27932775917,5726.91288804301,3232.29529048453,5809.02687717696,4536.80674892289,40491.3663052991,1995.86955768825,7426.24743140876,7485.7400507606
"4","S5",1,804.03326769762,1798.0378181494,940.292110265466,1752.77611504267,3947.85903280437,7200.85830882077,1770.88288898177,5149.37701824208,5310.29438466571,6530.27163180609,1664.38196350303,2667.27977337424,6983.67193413393,2914.05126871175,7944.9365163643,2314.25916431869,2201.81033306902,1293.44022241757,28119.0982093299,1728.04424393656,4320.86492170538,2441.32953144595,3790.98429768082,1855.83823775037,2489.84470763747,2770.19288254543,1936.44201258949,8763.09253119625,4015.67954605573,2512.97142005781,1960.95636606892,3600.15273452485,4276.74887616914,2947.2300902074,7070.52957430694,6027.40519567783,3691.98730673558,3920.71166146568,1671.45317185016,3058.07833863853,8576.81510962118,1125.73353129171,7118.19451956686,3790.35925017195,13387.9982606358,4337.18690725858,28207.5227154723,2316.28979206171,6604.9425189233,7675.04543006844
"5","S6",1,730.574089248831,2655.42449490015,666.031214922905,1367.70406801312,3010.57150251497,5222.31209511674,2437.16069985284,4865.32571590354,3700.89788925957,5936.90086422956,2199.02023193839,1607.74714895815,4350.73875522377,1851.94935347407,11662.8695429731,1806.20389059449,1603.44107863117,1267.47696097311,18205.9433587531,1660.17773766332,4062.48796971209,2545.03677853904,2957.74868562223,1982.06221504017,1687.91597889922,2147.66362706397,1729.96916953738,6304.89900600786,2711.92123491597,2359.05990970919,2050.14712261923,4102.95871901655,3995.17624992471,3495.73271953153,6346.17773423835,6077.07217229135,4428.55915584934,4436.49862977185,1408.98049373428,3109.51160605622,5111.97750156509,1123.06284542474,7685.56812402247,2699.78378441727,9657.38470899613,3744.55876307227,22576.2070931558,1846.53499147956,4873.07191953149,5109.65595621935
"6","S7",1,574.119310831559,2561.82990298081,370.24842472273,1706.00727628952,3771.31507837887,3992.63367209549,1858.00158777018,3977.98387834607,3501.95525318273,6626.89101450874,2221.84725238349,4361.49910669038,4906.17357885486,1664.8423031279,9070.90285168961,2161.61441804517,1514.85894811511,1430.57792444591,33390.2082110247,1342.81668661913,4619.15165417822,2950.83832591378,2633.5501467748,1572.18509362822,957.411168382096,2694.95775336582,2527.60798437297,7199.19340183328,3417.99523103499,2489.59752808532,2219.02167842425,2472.5495903019,3578.16308621197,1940.83519577528,2747.47044514568,6306.6748192242,6025.46843641631,3042.29484532736,1840.9018147409,6439.79810594792,4093.10662821,1016.00575730049,6204.52508571589,3548.76427745732,10576.0340458083,3839.38787245691,29625.0437541549,1795.60850382417,5742.39979725688,8232.83424920493
"7","S8",1,681.744049151581,1692.95091253108,237.668945597489,1431.28307415409,2370.63319338344,4072.13145301667,1930.15885753461,5290.98294727475,5059.62135756333,6325.04190532592,2039.87960768095,3062.50078409288,6097.99174711569,2734.85229967568,7752.3889461596,2565.48933373377,1646.36881623249,2074.6788590667,26878.0617851808,1649.62903628782,4912.22926158958,3256.15832708866,3375.314431168,2494.03999891733,540.015547319923,2396.04195115117,3293.71857998376,8416.36279405588,3484.56924544506,3731.84813547273,1755.33786101157,3679.49012535422,3453.6887767379,3246.74934622161,1483.84746535744,7171.88411551239,3126.97300137041,5321.97028415066,1763.94997167459,3362.72381291031,1386.40992666201,1704.09448942929,6072.38942166029,2790.84997430969,10653.7373289194,3508.47436030958,32911.3906239178,1814.37442454008,6078.38771450994,7102.98490617955
"8","S10",1,645.30252018503,1611.31567608234,436.008891913116,2057.50554795762,2280.36266972193,4288.210135029,2054.48210515973,3481.26901316372,7854.67901286857,10034.9226756084,1821.23755428421,2740.34451309368,5432.29608102963,1820.30439825321,3786.47543624695,3497.57603673343,1343.85318554357,1472.18453316982,15645.8191723436,640.005941572463,4616.78133366177,1977.14943241443,2816.4396263148,2841.48479591368,788.225456395712,1286.10372951646,2991.18991920647,6405.8559654314,4198.79030998055,3542.20719160449,1944.7214733992,2944.86551244108,3981.84036488129,1944.60984539525,1856.71254758687,3949.33807235976,4179.33398936271,4268.99839104421,1662.05684077194,4943.66425288636,3292.92587334394,1073.24978353667,8193.58058568319,2318.90006955531,6602.48748449275,4399.6292703369,26252.160086888,1774.7160623117,6505.26602039226,7211.41138618039
"9","S11",1,570.897191355706,1354.64609104283,2725.00795615021,1347.27409906396,3606.71240574342,3577.81150205705,1618.08008581584,3727.62350737024,5915.46069693476,6488.70044553563,2376.29409841349,2940.09021237201,6690.37360954825,1573.43812878047,3530.03683705464,2858.1324034427,1581.95085054188,1377.1616303886,9504.66838931552,692.888455710285,3545.04558356083,2880.71494618593,1982.03794612135,1973.92383604335,6028.87076125858,1077.33857645578,2679.873914074,7309.5963876183,3221.377068838,1960.10435382182,2354.80916385721,1987.13402676319,3928.03679707202,2385.84319035676,20957.1000760389,4467.69124451048,4825.7318579565,4090.70399920471,2062.98546983486,3662.36239108047,22503.3617644147,1521.04473951024,6956.65447795843,2413.44315486904,4021.69139578876,3643.35486693355,37694.208304685,1834.92161304192,8649.01010385892,7324.30636676632
"10","S12",1,765.791162939871,2684.63652803541,1157.45145229072,1766.15401350291,3416.97836185951,6628.76481236749,2643.11485690208,4832.91481705782,5681.08403261758,7173.71632664591,1499.48667084467,3308.29384909549,5221.8795092957,2066.52343808958,13229.0186530053,2741.48071025161,2213.62310882493,1248.72752320032,17598.4974415226,2028.77411281464,7297.53028551816,3257.93351928026,4178.05573283177,2585.47415185589,2906.64937217578,2420.72195802241,2089.52307280408,9112.93877682578,3824.63254860349,2640.28065628853,2228.59610165771,2705.30847916351,5422.49195136818,3805.37349491603,11285.0348366296,10378.6284725597,4368.96170065758,4533.88004582709,2343.51947611528,4586.5642619615,10767.9678481429,959.962617796232,7253.08979127166,3381.74267101452,18550.8029670168,5239.17634961932,35221.3524860134,2751.82845045981,5586.90880053326,7806.61034379586
