method,group,cv
winn,control,0.08027815539525485
winn,control,0.23762453274509135
winn,control,0.065105802268338
winn,control,0.12258323476929993
winn,control,0.4042326321271415
winn,control,0.2446408291089187
winn,control,0.15157328960696637
winn,control,0.13652663656634936
winn,control,0.07646223527596391
winn,control,0.16425759811939047
winn,control,0.16169614903458998
winn,control,0.13613953682609214
winn,control,0.09149403963572918
winn,control,0.0854352128310791
winn,control,0.1217364648450743
winn,control,0.24235553682077915
winn,control,0.20728117575229368
winn,control,0.16114339114016546
winn,control,0.16721909884372224
winn,control,0.14532321020097913
winn,control,0.18104754939947976
winn,control,0.14994726264528968
winn,control,0.093486290082795
winn,control,0.22421902791840054
winn,control,0.08975168467789098
winn,control,0.17088157783838276
winn,control,0.0867970805604553
winn,control,0.253351348722089
winn,control,0.09828950220249201
winn,control,0.14856440215526345
winn,control,0.2617535035710967
winn,control,0.1785792644844402
winn,control,0.08440878610237836
winn,control,0.09566737652308176
winn,control,0.0860053011799239
winn,control,0.09175235321076389
winn,control,0.08009259998193338
winn,control,0.08236918900948521
winn,control,0.11623546152235521
winn,control,0.07968256288077907
winn,control,0.07077773950426784
winn,control,0.34072527038101047
winn,control,0.0956442551906969
winn,control,0.09958311368493909
winn,control,0.10288811247489764
winn,control,0.0798574629378272
winn,control,0.08018501715746025
winn,control,0.09503293156849334
winn,control,0.15871593689522476
winn,control,0.14063228610724218
winn,control,0.1893534140348559
winn,control,0.0667871805775931
winn,control,0.11946108003012537
winn,control,0.0843961019936134
winn,control,0.16259348409328334
winn,control,0.10631331634072023
winn,control,0.08873013846655142
winn,control,0.08296996464399196
winn,control,0.11550847764970822
winn,control,0.08996369107263578
winn,control,0.21831440641054406
winn,control,0.11836405759629932
winn,control,0.10989992636337197
winn,control,0.21460553463236293
winn,control,0.09862295032623694
winn,control,0.14444551862423605
winn,control,0.0893296790231962
winn,control,0.1385497630142573
winn,control,0.08344644479112191
winn,control,0.10026438622400971
winn,control,0.09305118468314003
winn,control,0.1346599814647084
winn,control,0.10026026554694997
winn,control,0.11160943061142374
winn,control,0.07658938963869864
winn,control,0.08979197220124976
winn,control,0.1122570809950642
winn,control,0.0866639341824172
winn,control,0.1351660947194087
winn,control,0.07420830146698658
winn,control,0.0643329065306546
